"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"MALE","60-64","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",7500
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","DE FACTO SEPARATED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",990
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","45-59","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO",1050
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","NO",1000
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","45-59","PRIMARY/NO EDUCATION","RETIRED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","60-64","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",5800
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1050
"FEMALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",520
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"FEMALE","16-24","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1100
"FEMALE","45-59","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES",NA,NA
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",15,"MOST PEOPLE CAN BE TRUSTED","NO","NO",1400
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","60-64","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","DIVORCED",10,"ONE CAN`T BE TOO CAREFUL","NO","NO",500
"MALE","16-24","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",6000
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO",1250
"FEMALE","16-24","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",300
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",955
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","DE FACTO SEPARATED",13,"ONE CAN`T BE TOO CAREFUL","YES","NO",995
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","DE FACTO SEPARATED",4,"IT`S DIFFICULT TO TELL","YES","YES",1000
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","16-24","SECONDARY","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"MALE","45-59","PRIMARY/NO EDUCATION","UNEMPLOYED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",860
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","NO","NO",1800
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",8,"IT`S DIFFICULT TO TELL","YES","NO OPINION",NA
"FEMALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"FEMALE","25-34","VOCATIONAL/GRAMMAR","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",12,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",750
"MALE","25-34","SECONDARY","UNEMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",1300
"MALE","25-34","SECONDARY","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"MALE","25-34","SECONDARY","FARMER","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700
"MALE","16-24","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",780
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1880
"MALE","65+","SECONDARY","RETIRED","MARRIED",11,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1300
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","45-59","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","25-34","SECONDARY","UNEMPLOYED","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","45-59","PRIMARY/NO EDUCATION","FARMER","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",600
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",NA
"MALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE",2,"IT`S DIFFICULT TO TELL","YES","NO",1500
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",600
"MALE","65+","SECONDARY","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"MALE","60-64","POST-SECONDARY OR HIGHER","FARMER","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",2130
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1100
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",4,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",1450
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","DIVORCED",11,"MOST PEOPLE CAN BE TRUSTED","NO","YES",1300
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",13,"IT`S DIFFICULT TO TELL","YES","YES",900
"MALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",1,"IT`S DIFFICULT TO TELL","YES","YES",560
"FEMALE","65+","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1448
"MALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","60-64","SECONDARY","RETIRED","DE FACTO SEPARATED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",3500
"MALE","60-64","SECONDARY","RETIRED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"MALE","45-59","PRIMARY/NO EDUCATION","FARMER","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",1200
"FEMALE","45-59","SECONDARY","FARMER","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",960
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","WIDOWED",4,"IT`S DIFFICULT TO TELL","NO","YES",1100
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","WIDOWED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1200
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO",660
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",910
"FEMALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1100
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","NO","YES",1700
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES",NA,NA
"FEMALE","35-44","SECONDARY","PUPIL OR STUDENT","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO",1157
"FEMALE","45-59","PRIMARY/NO EDUCATION","UNEMPLOYED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",680
"FEMALE","65+","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","65+",NA,"RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","DIVORCED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",2100
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",540
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",700
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1900
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"MALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",560
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",690
"MALE","45-59","SECONDARY","SELF-EMPLOYED","MARRIED",8,"MOST PEOPLE CAN BE TRUSTED","NO","NO OPINION",1200
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1900
"MALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",360
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1200
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1300
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","45-59","SECONDARY","FARMER","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",9,"IT`S DIFFICULT TO TELL","YES","NO OPINION",1150
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",700
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","25-34","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","NO",2000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",11,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES",900
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"MALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",7700
"MALE","16-24","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",15,"IT`S DIFFICULT TO TELL","YES","NO",1300
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1800
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",NA
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",6000
"FEMALE","25-34","SECONDARY","SELF-EMPLOYED","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"FEMALE","65+","VOCATIONAL/GRAMMAR","UNEMPLOYED","WIDOWED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO",800
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"MALE","45-59","SECONDARY","RETIRED","MARRIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1600
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",950
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1300
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","60-64","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",853
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",1860
"FEMALE","35-44","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","60-64","SECONDARY","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1400
"MALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","60-64","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","16-24","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","DIVORCED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"FEMALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"IT`S DIFFICULT TO TELL","YES","NO OPINION",800
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",600
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",20,"ONE CAN`T BE TOO CAREFUL","YES","YES",850
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","35-44","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION",380
"MALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",780
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION",1300
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3000
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","35-44","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","SINGLE",4,"IT`S DIFFICULT TO TELL","YES","NO OPINION",NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",4500
"FEMALE","35-44","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",580
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",4500
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","SINGLE",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",728
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"MALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",1400
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2000
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",16,"IT`S DIFFICULT TO TELL","YES","NO",1300
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",5,NA,"YES","YES",NA
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","DIVORCED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",850
"FEMALE","60-64","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1030
"FEMALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED",5,"IT`S DIFFICULT TO TELL","YES","NO",900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
